Date,Price
19-Jun,"1,354.00"
19-May,"1,096.00"
19-Apr,"1,011.00"
19-Mar,689
19-Feb,658
19-Jan,668
18-Dec,"1,271.00"
18-Nov,"1,231.00"
18-Oct,"1,490.00"
18-Sep,"1,540.00"
18-Aug,"1,579.00"
18-Jul,"1,747.00"
18-Jun,"1,385.00"
18-May,"1,090.00"
18-Apr,"1,341.00"
18-Mar,"1,055.00"
18-Feb,"1,192.00"
18-Jan,"1,152.00"
17-Dec,"1,366.00"
17-Nov,"1,578.00"
17-Oct,"1,522.00"
17-Sep,"1,356.00"
17-Aug,"1,184.00"
17-Jul,946
17-Jun,901
17-May,878
17-Apr,"1,109.00"
17-Mar,"1,297.00"
17-Feb,859
17-Jan,800
16-Dec,961
16-Nov,"1,204.00"
16-Oct,857
16-Sep,875
16-Aug,711
16-Jul,656
16-Jun,660
16-May,612
16-Apr,703
16-Mar,429
16-Feb,329
16-Jan,317
15-Dec,478
15-Nov,584
15-Oct,721
15-Sep,900
15-Aug,903
15-Jul,"1,131.00"
15-Jun,800
15-May,589
15-Apr,591
15-Mar,602
15-Feb,540
15-Jan,608
14-Dec,782
14-Nov,"1,153.00"
14-Oct,"1,428.00"
14-Sep,"1,063.00"
14-Aug,"1,147.00"
14-Jul,755
14-Jun,850
14-May,934
14-Apr,943
14-Mar,"1,362.00"
14-Feb,"1,258.00"
14-Jan,"1,110.00"
13-Dec,"2,277.00"
