t,yyyymm,ore_price,growth,HSFO,prod,VIX,difprod,difiron,season1,season2,season3,season4,lnf,BDI
1,201312,109.73,0.005,595,110.27,13.72,0.6,0,1,0,0,0,6.388561406,2277
2,201401,110.38838,0.006,590,110.93,18.41,0.66,0.65838,1,0,0,0,6.380122537,1110
3,201402,111.05234,0.006,587,111.6,14,0.67,0.66396,1,0,0,0,6.37502482,1258
4,201403,112.04945,0.009,597,112.6,13.88,1,0.99711,0,1,0,0,6.391917113,1362
5,201404,112.7223,0.006,584,113.28,13.41,0.68,0.67285,0,1,0,0,6.369900983,943
6,201405,113.39632,0.006,575,113.96,11.4,0.68,0.67402,0,1,0,0,6.354370041,934
7,201406,92.74,0.006,583,114.64,11.57,0.68,-20.65632,0,0,1,0,6.368187186,850
8,201407,96.05,0.008,573,115.56,16.950001,0.92,3.31,0,0,1,0,6.350885717,755
9,201408,92.61,0.001,569,115.67,12.09,0.11,-3.44,0,0,1,0,6.343880434,1147
10,201409,82.38,0.009,560,116.71,16.309999,1.04,-10.23,0,0,0,1,6.327936784,1063
11,201410,81.06,0.004,545,117.18,14.03,0.47,-1.32,0,0,0,1,6.300785795,1428
12,201411,73.73,0.004,460,117.65,13.33,0.47,-7.33,0,0,0,1,6.131226489,1153
13,201412,68.39,0.007,383,118.47,19.200001,0.82,-5.34,1,0,0,0,5.948034989,782
14,201501,68.23,0.005,331,119.06,20.969999,0.59,-0.16,1,0,0,0,5.802118375,608
15,201502,62.75,0.004,382,119.54,13.34,0.48,-5.48,1,0,0,0,5.945420609,540
16,201503,58.05,0.003,359,119.9,15.29,0.36,-4.7,0,1,0,0,5.883322388,602
17,201504,52.28,0.006,400,120.62,14.55,0.72,-5.77,0,1,0,0,5.991464547,591
18,201505,60.3,0.005,402,121.22,13.84,0.6,8.02,0,1,0,0,5.996452089,589
19,201506,62.63,0.006,380,121.95,18.23,0.73,2.33,0,0,1,0,5.940171253,800
20,201507,52.39,0.003,335,122.31,12.12,0.36,-10.24,0,0,1,0,5.814130532,1131
21,201508,56.19,0.005,286,122.93,28.43,0.62,3.8,0,0,1,0,5.655991811,903
22,201509,56.95,0.004,280,123.42,24.5,0.49,0.76,0,0,0,1,5.634789603,900
23,201510,53.12,0.005,278,124.04,15.07,0.62,-3.83,0,0,0,1,5.627621114,721
24,201511,46.86,0.006,253,124.78,16.129999,0.74,-6.26,0,0,0,1,5.533389489,584
25,201512,40.5,0.004,205,125.28,18.209999,0.5,-6.36,1,0,0,0,5.323009979,478
26,201601,41.88,0.005,196,125.9,20.200001,0.62,1.38,1,0,0,0,5.278114659,317
27,201602,46.83,0.004,162,126.41,20.549999,0.51,4.95,1,0,0,0,5.087596335,329
28,201603,56.2,0.006,204,127.17,13.95,0.76,9.37,0,1,0,0,5.318119994,429
29,201604,60.92,0.005,236,127.8,15.7,0.63,4.72,0,1,0,0,5.463831805,703
30,201605,55.13,0.005,261,128.44,14.19,0.64,-5.79,0,1,0,0,5.564520407,612
31,201606,51.98,0.005,286,129.08,15.63,0.64,-3.15,0,0,1,0,5.655991811,660
32,201607,57.26,0.005,265,129.73,11.87,0.65,5.28,0,0,1,0,5.579729826,656
33,201608,60.89,0.005,279,130.38,13.42,0.65,3.63,0,0,1,0,5.631211782,711
34,201609,57.79,0.005,295,131.03,13.29,0.65,-3.1,0,0,0,1,5.686975356,875
35,201610,59.09,0.005,309,131.69,17.059999,0.66,1.3,0,0,0,1,5.733341277,857
36,201611,73.1,0.005,309,132.34,13.33,0.65,14.01,0,0,0,1,5.733341277,1204
37,201612,80.02,0.005,361,133.01,14.04,0.67,6.92,1,0,0,0,5.888877958,961
38,201701,80.41,0.006,358,133.8,11.99,0.79,0.39,1,0,0,0,5.880532986,800
39,201702,89.44,0.008,362,134.87,12.92,1.07,9.03,1,0,0,0,5.891644212,859
40,201703,87.65,0.008,342,135.95,12.37,1.08,-1.79,0,1,0,0,5.834810737,1297
41,201704,70.22,0.006,340,136.77,10.82,0.82,-17.43,0,1,0,0,5.828945618,1109
42,201705,62.43,0.005,338,137.45,10.41,0.68,-7.79,0,1,0,0,5.823045895,878
43,201706,57.48,0.008,333,138.55,11.18,1.1,-4.95,0,0,1,0,5.80814249,901
44,201707,67.74,0.004,345,139.11,10.26,0.56,10.26,0,0,1,0,5.843544417,946
45,201708,76.07,0.005,352,139.8,10.59,0.69,8.33,0,0,1,0,5.863631176,1184
46,201709,71.53,0.006,345,140.64,9.51,0.84,-4.54,0,0,0,1,5.843544417,1356
47,201710,61.66,0.005,381,141.34,10.18,0.7,-9.87,0,0,0,1,5.942799375,1522
48,201711,64.24,0.005,396,142.05,11.28,0.71,2.58,0,0,0,1,5.981414211,1578
49,201712,72.25,0.005,408,142.76,11.04,0.71,8.01,1,0,0,0,6.011267174,1366
50,201801,76.34,0.006,420,143.62,13.54,0.86,4.09,1,0,0,0,6.040254711,1152
51,201802,77.46,0.006,400,144.48,19.85,0.86,1.12,1,0,0,0,5.991464547,1192
52,201803,70.35,0.006,411,145.35,19.969999,0.87,-7.11,0,1,0,0,6.018593214,1055
53,201804,65.75,0.006,440,146.22,15.93,0.87,-4.6,0,1,0,0,6.086774727,1341
54,201805,66.1,0.006,472,147.1,15.43,0.88,0.35,0,1,0,0,6.156978986,1090
55,201806,65.04,0.004,487,147.68,16.09,0.58,-1.06,0,0,1,0,6.188264123,1385
56,201807,64.56,0.005,485,148.42,12.83,0.74,-0.48,0,0,1,0,6.184148891,1747
57,201808,67.15,0.005,482,149.16,12.86,0.74,2.59,0,0,1,0,6.177944114,1579
58,201809,68.44,0.005,511,149.91,12.12,0.75,1.29,0,0,0,1,6.23636959,1540
59,201810,73.41,0.005,514,150.66,21.23,0.75,4.97,0,0,0,1,6.242223265,1490
60,201811,73.26,0.005,456,151.41,18.07,0.75,-0.15,0,0,0,1,6.12249281,1231
61,201812,69.15,0.005,406,152.17,25.42,0.76,-4.11,1,0,0,0,6.00635316,1271
62,201901,76.16,0.005,441,152.93,16.57,0.76,7.01,1,0,0,0,6.089044875,668
63,201902,88.22,0.005,471,153.7,14.78,0.77,12.06,1,0,0,0,6.154858094,658
64,201903,86.47,0.01,473,155.23,13.71,1.53,-1.75,0,1,0,0,6.159095388,689
65,201904,93.7,0.004,480,155.85,13.12,0.62,7.23,0,1,0,0,6.173786104,1011
66,201905,100.15,0.004,434,156.48,18.709999,0.63,6.45,0,1,0,0,6.073044534,1096
